2022-08-22 10:10:48.844  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 11.0.5 on DESKTOP-QMAC5CD with PID 18664 (E:\Angular_Projects\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice\target\classes started by MUDIT MANGAL in E:\Angular_Projects\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice)
2022-08-22 10:11:03.871  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-22 10:11:04.661  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-22 10:11:06.145  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-22 10:11:07.287  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-22 10:11:08.846  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-22 10:11:08.895  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-22 10:11:08.967  WARN [PensionDisburesmentService,,] 18664 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-08-22 10:11:09.206  WARN [PensionDisburesmentService,,] 18664 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-22 10:11:12.504  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9083 (http) with context path ''
2022-08-22 10:11:12.995  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-22 10:11:13.172  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-22 10:11:13.183  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-22 10:11:14.041  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] nsionDisbursementMicroserviceApplication : Started PensionDisbursementMicroserviceApplication in 29.958 seconds (JVM running for 33.918)
2022-08-22 13:56:15.207  WARN [PensionDisburesmentService,,] 18664 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h27s496ms356µs600ns).
2022-08-22 14:25:55.236  WARN [PensionDisburesmentService,,] 18664 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=30m6s735ms7µs700ns).
